Transition Profile during evaluation with reward shaping:
Q-table shape: (10, 10, 6, 7, 3)
State choice: ['storage_level', 'price', 'hour', 'Day_of_Week']
State bin size: [5, 5, 6, 7]
Bins length: 4
Bins: [array([  0.,  58., 116., 174., 232., 290.]), array([1.000000e-02, 5.998080e+02, 1.199606e+03, 1.799404e+03,
       2.399202e+03, 2.999000e+03]), array([ 1.,  5.,  9., 13., 17., 21., 25.]), array([0.        , 0.85714286, 1.71428571, 2.57142857, 3.42857143,
       4.28571429, 5.14285714, 6.        ])]
Discount rate: 0.95
Small reward: 50000
Large reward: 100000
Learning rate: 0.05
N simulations: 1000
State: [ 0.   42.99 10.    9.  ], Action: 0, Reward: -0.0, Next state: [ 0.   46.59 11.    9.  ]
State: [ 0.   46.59 11.    9.  ], Action: 0, Reward: -0.0, Next state: [ 0.   46.76 12.    9.  ]
State: [ 0.   46.76 12.    9.  ], Action: 0, Reward: -0.0, Next state: [ 0.   47.66 13.    9.  ]
State: [ 0.   47.66 13.    9.  ], Action: 0, Reward: -476.59999999999997, Next state: [10. 45. 14.  9.]
State: [10. 45. 14.  9.], Action: 0, Reward: -450.0, Next state: [20.  43.6 15.   9. ]
State: [20.  43.6 15.   9. ], Action: 0, Reward: -436.0, Next state: [30.   40.06 16.    9.  ]
State: [30.   40.06 16.    9.  ], Action: 0, Reward: -400.6, Next state: [40. 45. 17.  9.]
State: [40. 45. 17.  9.], Action: 0, Reward: -450.0, Next state: [50.   55.29 18.    9.  ]
State: [50.   55.29 18.    9.  ], Action: 0, Reward: -552.9, Next state: [60.   51.61 19.    9.  ]
State: [60.   51.61 19.    9.  ], Action: 0, Reward: -516.1, Next state: [70. 48. 20.  9.]
State: [70. 48. 20.  9.], Action: 0, Reward: -480.0, Next state: [80.   48.77 21.    9.  ]
State: [80.   48.77 21.    9.  ], Action: 0, Reward: -487.70000000000005, Next state: [90.   39.93 22.    9.  ]
